path	rg	cs_prod	cs_test	sub_call	sub_fn_ptr	sub_serde	sub_string	sub_comment	a	b	c	comment
crates/adapters/inmemory/src/system/pool_observability.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/inmemory/src/system/report_loader.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/adapters/inmemory/tests/bdd_data_provider_contract.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/bdd_group_backtest/bdd_backtest_repository.rs	8	0	0	8	0	0	0	0	0	0	8	0
crates/adapters/inmemory/tests/bdd_group_collection/bdd_818_derivatives_collector.rs	6	0	0	6	0	0	0	0	0	0	6	0
crates/adapters/inmemory/tests/bdd_group_collection/bdd_950_audit_trail.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/bdd_group_trading/bdd_1136_circuit_breaker.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/bdd_group_trading/bdd_fee_source.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/inmemory/tests/harness/contract_audit.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/inmemory/tests/harness/contract_backtest_repository.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/inmemory/tests/harness/contract_budget_tracker.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/harness/contract_candle_observation_repository.rs	13	0	0	13	0	0	0	0	0	0	13	0
crates/adapters/inmemory/tests/harness/contract_circuit_breaker.rs	7	0	0	7	0	0	0	0	0	0	7	0
crates/adapters/inmemory/tests/harness/contract_funding_rate_port.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/inmemory/tests/harness/contract_gap_repository.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/harness/contract_live_data_provider.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/harness/contract_pipeline_audit_trail.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/inmemory/tests/harness/contract_pool_observability.rs	15	0	0	15	0	0	0	0	0	0	15	0
crates/adapters/inmemory/tests/harness/contract_price_cache.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/inmemory/tests/harness/contract_report_loader.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/adapters/inmemory/tests/harness/contract_workflow_run_repository.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/adapters/inmemory/tests/harness/gap_repository_tests.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/inmemory/tests/harness/integration_1133_funding_rate_port.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/jupiter/src/borrow_rate_adapter.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/jupiter/src/derivatives_provider.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/jupiter/src/funding_rate.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/adapters/jupiter/src/local_position_provider.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/jupiter/src/perps_executor/executor/executor_impl.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/jupiter/src/perps_executor/executor/order_submit.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/adapters/jupiter/tests/bdd_inmemory/bdd_funding_rate.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/adapters/jupiter/tests/bdd_inmemory/bdd_perps_orders.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/jupiter/tests/integration_live/contract_funding_rate.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/jupiter/tests/integration_live/integration_funding_rate.rs	9	0	0	9	0	0	0	0	0	0	9	0
